PLAYER_NAME,Team,Class,Height,Position,PLAYER_ID,TEAM_NAME,GAMES,MINUTES_PLAYED,FIELD_GOALS_MADE,FIELD_GOAL_ATTEMPTS,FIELD_GOAL_PERCENTAGE,THREE_POINTS_MADE,THREE_POINT_ATTEMPTS,THREE_POINT_PERCENTAGE,FREE_THROWS_MADE,FREE_THROW_ATTEMPTS,FREE_THROW_PERCENTAGE,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS,POINTS
Payton Verhulst, Oklahoma (Big 12),Junior,73,Guard,ncaaw.p.66683,Oklahoma,29,831,133,332,40.1,50,142,35.2,47,61,77,27,144,171,117,73,35,28,69,363
Adrianna Smith, Maine (America East),Junior,70,Forward,ncaaw.p.66828,Maine,31,1058,190,445,42.7,9,36,25,117,151,77.5,88,257,345,145,84,44,25,91,506
Jaddan Simmons, Arizona St. (Pac-12),Senior,69,Guard,ncaaw.p.64065,Michigan St.,31,1139,88,248,35.5,10,30,33.3,108,139,77.7,40,88,128,104,64,57,13,63,294
Shyanne Sellers, Maryland (Big Ten),Junior,74,Guard,ncaaw.p.66914,Maryland,31,1004,154,358,43,20,64,31.3,151,179,84.4,32,147,179,171,108,41,20,86,479
Ally Knights, Hofstra (CAA),Senior,66,Guard,ncaaw.p.64905,Hofstra,29,811,30,111,27,12,57,21.1,34,42,81,32,98,130,100,60,36,4,63,106
KK Arnold, UConn (Big East),Freshman,69,Guard,ncaaw.p.112051,Connecticut,32,952,106,222,47.7,25,71,35.2,56,83,67.5,16,78,94,103,59,74,2,77,293
Reagan Bradley, SMU (AAC),Senior,68,Guard,ncaaw.p.61063,SMU,30,1051,108,293,36.9,27,96,28.1,49,59,83.1,27,78,105,117,73,43,3,54,292
Crystal Henderson, Georgia St. (Sun Belt),Freshman,65,Guard,ncaaw.p.113059,Georgia St.,30,930,116,326,35.6,32,119,26.9,80,119,67.2,33,53,86,136,85,55,2,64,344
Jacy Sheldon, Ohio St. (Big Ten),Senior,70,Guard,ncaaw.p.60863,Ohio St.,30,1000,198,389,50.9,57,150,38,86,99,86.9,29,67,96,112,72,62,5,57,539
Jada Walker, Baylor (Big 12),Junior,67,Guard,ncaaw.p.66776,Baylor,31,763,89,220,40.5,12,55,21.8,43,54,79.6,4,47,51,99,65,52,1,54,233
Nina De Leon Negron, UIW (Southland),Senior,66,Guard,ncaaw.p.64258,UTSA,28,976,111,295,37.6,31,110,28.2,64,78,82.1,58,130,188,92,56,46,5,51,317
Quierra Love, Southern Ill. (MVC),Senior,64,Guard,ncaaw.p.64174,Southern Ill.,30,1023,98,252,38.9,52,138,37.7,53,68,77.9,23,63,86,119,72,63,1,62,301
Emma Smith, Denver (Summit League),Sophomore,68,Guard,ncaaw.p.70692,Denver,30,1080,122,327,37.3,70,217,32.3,68,83,81.9,31,100,131,104,66,63,1,73,382
Sydney Gandy, LMU (CA) (WCC),Senior,65,Guard,ncaaw.p.64351,Southern Utah,30,878,43,190,22.6,23,104,22.1,24,30,80,4,53,57,119,76,11,3,55,133
Makira Cook, Illinois (Big Ten),Senior,66,Guard,ncaaw.p.65006,Illinois,26,912,143,379,37.7,35,113,31,83,95,87.4,17,64,81,112,78,30,5,54,404
Sara Wohlgemuth, North Ala. (ASUN),Senior,64,Guard,ncaaw.p.71727,North Alabama,30,664,47,134,35.1,23,63,36.5,34,55,61.8,13,100,113,124,82,22,1,31,151
Alexia Nelson, Towson (CAA),Senior,67,Guard,ncaaw.p.65257,Towson,28,906,93,242,38.4,25,81,30.9,67,96,69.8,31,85,116,88,53,33,2,69,278
Asia Avinger, Georgia (SEC),Junior,67,Guard,ncaaw.p.64945,Georgia,30,852,80,233,34.3,29,94,30.9,44,71,62,12,89,101,131,85,37,3,73,233
Kaylah Rainey, Tulane (AAC),Senior,66,Guard,ncaaw.p.61477,Tulane,28,750,30,106,28.3,20,69,29,14,19,73.7,10,54,64,109,69,32,3,57,94
Kaylee Smiler, BYU (Big 12),Senior,68,Guard,ncaaw.p.57571,BYU,31,1103,64,153,41.8,39,87,44.8,50,68,73.5,6,63,69,114,75,42,34,79,217
Destiny Jackson, Rice (AAC),Senior,69,Guard,ncaaw.p.61431,Rice,29,814,114,265,43,10,58,17.2,76,90,84.4,38,104,142,97,64,37,6,57,314
